FirstName,LastName,Username,Domain,DisplayName,InitialPassword
Alif,Mardiono,alif.mardiono,M365x57702712.onmicrosoft.com,Alif M. Mardiono,PassAlif2024!
Elang,Bachtiar,elang.bachtiar,M365x57702712.onmicrosoft.com,Elang B. Bachtiar,PassElang2025!
Iwan,Wiratama,iwan.wiratama,M365x57702712.onmicrosoft.com,Iwan W. Wiratama,PassIwan2024!
Lisa,Lazuardi,lisa.lazuardi,M365x57702712.onmicrosoft.com,Lisa L. Lazuardi,PassLisa2025!
Lili,Cipto,lili.cipto,M365x57702712.onmicrosoft.com,Lili C. Cipto,PassLili2024!
Fauzi,Nasution,fauzi.nasution,M365x57702712.onmicrosoft.com,Fauzi N. Nasution,PassFauzi2025!
Dani,Umara,dani.umara,M365x57702712.onmicrosoft.com,Dani U. Umara,PassDani2025!
Vera,Basuki,vera.basuki,M365x57702712.onmicrosoft.com,Vera B. Basuki,PassVera2024!
Gilang,Effendi,gilang.effendi,M365x57702712.onmicrosoft.com,Gilang E. Effendi,PassGilang2025!


