"UserPrincipalName";"DisplayName";"TotalItemSizeGB";"ItemCount";"WarningQuota";"SendQuota";"LastLogonTime";"Status";"Reason"
"alif.mardiono@M365x57702712.onmicrosoft.com";"Alif M. Mardiono";"0.0006";"10";"98 GB (105,226,698,752 bytes)";"99 GB (106,300,440,576 bytes)";"1/6/2026 11:41:16 AM";"SUCCESS";"Storage data collected."
"alif.ramlan@M365x57702712.onmicrosoft.com";"Alif R. Ramlan";"0.0006";"7";"98 GB (105,226,698,752 bytes)";"99 GB (106,300,440,576 bytes)";"1/1/2026 6:02:49 PM";"SUCCESS";"Storage data collected."
"andi.valentino@M365x57702712.onmicrosoft.com";"Andi V. Valentino";"0.0006";"7";"98 GB (105,226,698,752 bytes)";"99 GB (106,300,440,576 bytes)";"12/31/2025 4:47:02 PM";"SUCCESS";"Storage data collected."
"bagas.wibisono@M365x57702712.onmicrosoft.com";"Bagas W. Wibisono";"0.0006";"7";"98 GB (105,226,698,752 bytes)";"99 GB (106,300,440,576 bytes)";"12/20/2025 9:35:05 PM";"SUCCESS";"Storage data collected."
"bima.iskandar@M365x57702712.onmicrosoft.com";"Bima I. Iskandar";"0.0006";"7";"98 GB (105,226,698,752 bytes)";"99 GB (106,300,440,576 bytes)";"12/20/2025 9:01:31 PM";"SUCCESS";"Storage data collected."
"bima.jamaludin@M365x57702712.onmicrosoft.com";"Bima J. Jamaludin";"0.0006";"7";"98 GB (105,226,698,752 bytes)";"99 GB (106,300,440,576 bytes)";"12/20/2025 9:00:03 PM";"SUCCESS";"Storage data collected."
"bulan.bahari@M365x57702712.onmicrosoft.com";"Bulan B. Bahari";"0.0006";"7";"98 GB (105,226,698,752 bytes)";"99 GB (106,300,440,576 bytes)";"12/20/2025 10:21:55 PM";"SUCCESS";"Storage data collected."
"dani.umara@M365x57702712.onmicrosoft.com";"Dani U. Umara";"0.0006";"7";"98 GB (105,226,698,752 bytes)";"99 GB (106,300,440,576 bytes)";"12/19/2025 5:12:00 PM";"SUCCESS";"Storage data collected."
"elang.bachtiar@M365x57702712.onmicrosoft.com";"Elang B. Bachtiar";"0.0006";"7";"98 GB (105,226,698,752 bytes)";"99 GB (106,300,440,576 bytes)";"12/31/2025 4:31:00 PM";"SUCCESS";"Storage data collected."
"fauzi.nasution@M365x57702712.onmicrosoft.com";"Fauzi N. Nasution";"0.0006";"7";"98 GB (105,226,698,752 bytes)";"99 GB (106,300,440,576 bytes)";;"SUCCESS";"Storage data collected."
"fikri.ramdhan@M365x57702712.onmicrosoft.com";"Fikri R. Ramdhan";"0.0006";"7";"98 GB (105,226,698,752 bytes)";"99 GB (106,300,440,576 bytes)";"12/20/2025 8:58:03 PM";"SUCCESS";"Storage data collected."
"gery.kautsar@M365x57702712.onmicrosoft.com";"Gery K. Kautsar";"0.0006";"7";"98 GB (105,226,698,752 bytes)";"99 GB (106,300,440,576 bytes)";"12/20/2025 10:01:01 PM";"SUCCESS";"Storage data collected."
"gilang.effendi@M365x57702712.onmicrosoft.com";"Gilang E. Effendi";"0.0006";"7";"98 GB (105,226,698,752 bytes)";"99 GB (106,300,440,576 bytes)";"12/20/2025 9:26:09 PM";"SUCCESS";"Storage data collected."
"hana.kautsar@M365x57702712.onmicrosoft.com";"Hana K. Kautsar";"0.0006";"7";"98 GB (105,226,698,752 bytes)";"99 GB (106,300,440,576 bytes)";"12/20/2025 9:32:39 PM";"SUCCESS";"Storage data collected."
"ilham.widianto@M365x57702712.onmicrosoft.com";"Ilham W. Widianto";"0.0002";"2";"98 GB (105,226,698,752 bytes)";"99 GB (106,300,440,576 bytes)";"12/31/2025 5:29:03 PM";"SUCCESS";"Storage data collected."
"IsaiahL@M365x57702712.OnMicrosoft.com";"Isaiah Langer";"0.01";"176";"98 GB (105,226,698,752 bytes)";"99 GB (106,300,440,576 bytes)";"12/25/2025 9:07:00 PM";"SUCCESS";"Storage data collected."
"iwan.wiratama@M365x57702712.onmicrosoft.com";"Iwan W. Wiratama";"0.0002";"2";"98 GB (105,226,698,752 bytes)";"99 GB (106,300,440,576 bytes)";;"SUCCESS";"Storage data collected."
"jihan.ismail@M365x57702712.onmicrosoft.com";"Jihan I. Ismail";"0.0002";"2";"98 GB (105,226,698,752 bytes)";"99 GB (106,300,440,576 bytes)";"12/31/2025 5:37:22 PM";"SUCCESS";"Storage data collected."
"jihan.valianto@M365x57702712.onmicrosoft.com";"Jihan V. Valianto";"0.0002";"2";"98 GB (105,226,698,752 bytes)";"99 GB (106,300,440,576 bytes)";"12/23/2025 8:27:21 PM";"SUCCESS";"Storage data collected."
"admin@M365x57702712.onmicrosoft.com";"MOD Administrator";"0.02";"509";"98 GB (105,226,698,752 bytes)";"99 GB (106,300,440,576 bytes)";"1/5/2026 6:30:24 PM";"SUCCESS";"Storage data collected."
